feature_policy,feature_count,source_rows,training_scope,model,threshold_label,threshold_value,accuracy,balanced_accuracy,precision_not_merged,recall_not_merged,f1_not_merged,precision_merged,recall_merged,f1_merged,roc_auc_merged,average_precision_not_merged,actual_not_merged_predicted_not_merged,actual_not_merged_predicted_merged,actual_merged_predicted_not_merged,actual_merged_predicted_merged,actual_not_merged,actual_merged,predicted_not_merged,predicted_merged,correct_not_merged,missed_not_merged,false_not_merged,correct_merged,stress_test,training_rows,validation_rows,validation_not_merged_rate,rank_within_stress_f1
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Dummy majority,default_model_threshold,,0.891625,0.5,0.0,0.0,0.0,0.891625,1.0,0.9427079891627569,0.5,0.108375,0,4335,0,35665,4335,35665,0,40000,0,4335,0,35665,random_stratified_sample,120000,40000,10.8375,5.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Logistic regression balanced,default_model_threshold,,0.626625,0.615234566954993,0.16472672064777327,0.6006920415224913,0.2585513577917887,0.9284474206349206,0.6297770923874948,0.7504886646507509,0.6564695145506103,0.2039794850040781,2604,1731,13204,22461,4335,35665,15808,24192,2604,1731,13204,22461,random_stratified_sample,120000,40000,10.8375,4.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Decision tree balanced,default_model_threshold,,0.6685,0.6412499953511394,0.18536275823168583,0.6064590542099193,0.2839399503186089,0.933919510400124,0.6760409364923594,0.7843271201327218,0.6939721466142308,0.27890919502369205,2629,1706,11554,24111,4335,35665,14183,25817,2629,1706,11554,24111,random_stratified_sample,120000,40000,10.8375,3.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Random forest balanced,default_model_threshold,,0.780925,0.6777489198069114,0.2583497053045187,0.5460207612456748,0.3507446099133141,0.936182631817887,0.8094770783681481,0.8682315083530067,0.7494659728464497,0.33421993299431335,2367,1968,6795,28870,4335,35665,9162,30838,2367,1968,6795,28870,random_stratified_sample,120000,40000,10.8375,1.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Hist gradient boosting weighted,default_model_threshold,,0.73505,0.6841421461501531,0.23076261714383975,0.6191464821222606,0.3362144557184016,0.9418026719306285,0.7491378101780457,0.8344941749695475,0.7476800762445486,0.3416853040106781,2684,1651,8947,26718,4335,35665,11631,28369,2684,1651,8947,26718,random_stratified_sample,120000,40000,10.8375,2.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Dummy majority,default_model_threshold,,0.91995,0.5,0.0,0.0,0.0,0.91995,1.0,0.9583062058907784,0.5,0.08005,0,3202,0,36798,3202,36798,0,40000,0,3202,0,36798,temporal_last_25pct_sample,120000,40000,8.004999999999995,5.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Logistic regression balanced,default_model_threshold,,0.6902,0.609648030663481,0.13181089743589744,0.5137414116177389,0.2097946690473154,0.9434229651162791,0.7055546497092233,0.8073323175471874,0.6505530522851448,0.15768942961636417,1645,1557,10835,25963,3202,36798,12480,27520,1645,1557,10835,25963,temporal_last_25pct_sample,120000,40000,8.004999999999995,3.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Decision tree balanced,default_model_threshold,,0.74875,0.5898619873802309,0.13628638198427873,0.40068707058088693,0.20339251743817374,0.9372588766102138,0.7790369041795749,0.8508548023269619,0.6283694852587344,0.15131574755452498,1283,1919,8131,28667,3202,36798,9414,30586,1283,1919,8131,28667,temporal_last_25pct_sample,120000,40000,8.004999999999995,4.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Random forest balanced,default_model_threshold,,0.840225,0.6117792449206718,0.2027958993476235,0.33978763272954404,0.25399789891443914,0.9389634762523459,0.8837708571117996,0.9105315470440832,0.6848637516588276,0.19976384216435578,1088,2114,4277,32521,3202,36798,5365,34635,1088,2114,4277,32521,temporal_last_25pct_sample,120000,40000,8.004999999999995,1.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Hist gradient boosting weighted,default_model_threshold,,0.814375,0.6151224628989729,0.18214662050278488,0.3778888194878201,0.24581005586592178,0.9402823994963576,0.8523561063101256,0.8941629249518922,0.6795332972194297,0.1997784034140733,1210,1992,5433,31365,3202,36798,6643,33357,1210,1992,5433,31365,temporal_last_25pct_sample,120000,40000,8.004999999999995,2.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Dummy majority,default_model_threshold,,0.8903655266500446,0.5,0.0,0.0,0.0,0.8903655266500446,1.0,0.9420035586745804,0.5,0.10963447334995531,0,4661,0,37853,4661,37853,0,42514,0,4661,0,37853,project_group_holdout_sample,117486,42514,10.963447334995536,5.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Logistic regression balanced,default_model_threshold,,0.6268993743237522,0.6252082910214336,0.17073314127814687,0.6230422656082386,0.26802030456852793,0.9311115467555381,0.6273743164346287,0.7496448751538874,0.6672852042227311,0.19713918201021494,2904,1757,14105,23748,4661,37853,17009,25505,2904,1757,14105,23748,project_group_holdout_sample,117486,42514,10.963447334995536,3.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Decision tree balanced,default_model_threshold,,0.6422354988944818,0.6004277899907666,0.16290662746852433,0.5468783522849174,0.25103407524128424,0.9213905534670785,0.6539772276966158,0.7649876390605687,0.6348362268830088,0.19165545956445745,2549,2112,13098,24755,4661,37853,15647,26867,2549,2112,13098,24755,project_group_holdout_sample,117486,42514,10.963447334995536,4.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Random forest balanced,default_model_threshold,,0.7538222703109564,0.6305450641378071,0.21574772304377632,0.47264535507401845,0.2962614308768155,0.9239079961613472,0.7884447732015957,0.8508181766349279,0.687356964335544,0.2205438227287264,2203,2458,8008,29845,4661,37853,10211,32303,2203,2458,8008,29845,project_group_holdout_sample,117486,42514,10.963447334995536,2.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Hist gradient boosting weighted,default_model_threshold,,0.711130451145505,0.6435379434166881,0.202622541367468,0.5569620253164557,0.2971441652835804,0.9304760622180325,0.7301138615169207,0.8182073865739028,0.6906621853087855,0.22863164841884107,2596,2065,10216,27637,4661,37853,12812,29702,2596,2065,10216,27637,project_group_holdout_sample,117486,42514,10.963447334995536,1.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Dummy majority,default_model_threshold,,0.8929949287846068,0.5,0.0,0.0,0.0,0.8929949287846068,1.0,0.9434731337161608,0.5,0.1070050712153932,0,4410,0,36803,4410,36803,0,41213,0,4410,0,36803,creator_group_holdout_sample,118787,41213,10.700507121539315,5.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Logistic regression balanced,default_model_threshold,,0.629655691165409,0.6225921947726458,0.16636950507224102,0.6136054421768707,0.2617654171704958,0.9316979316979317,0.631578947368421,0.7528299136856084,0.673485887938126,0.21662354914597284,2706,1704,13559,23244,4410,36803,16265,24948,2706,1704,13559,23244,creator_group_holdout_sample,118787,41213,10.700507121539315,3.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Decision tree balanced,default_model_threshold,,0.6949506223764346,0.6089559179557665,0.17528644175684277,0.499546485260771,0.2595123100482978,0.9229533950078548,0.7183653506507621,0.8079085686346412,0.6544830313362382,0.22378717144537547,2203,2207,10365,26438,4410,36803,12568,28645,2203,2207,10365,26438,creator_group_holdout_sample,118787,41213,10.700507121539315,4.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Random forest balanced,default_model_threshold,,0.7821561157887075,0.6558873953080947,0.24440465532676814,0.49523809523809526,0.3272890753783905,0.9310344827586207,0.8165366953780941,0.8700347423277359,0.7242144221581068,0.32310170061393056,2184,2226,6752,30051,4410,36803,8936,32277,2184,2226,6752,30051,creator_group_holdout_sample,118787,41213,10.700507121539315,1.0
headline_leakage_safer_features,25,1045883,160000_row_model_family_stress_diagnostic,Hist gradient boosting weighted,default_model_threshold,,0.7378011792395603,0.6649820275545664,0.22055225445648374,0.5723356009070295,0.31840544972877505,0.9366455037119151,0.7576284542021031,0.8376795048969536,0.7254241049189831,0.3154215902837488,2524,1886,8920,27883,4410,36803,11444,29769,2524,1886,8920,27883,creator_group_holdout_sample,118787,41213,10.700507121539315,2.0
